deployment_phase,section,category,bug_id,severity,state,description,defer_trigger,owner,status_note
pre_deployment,A,Upload Security,BUG-WF71-UPLOAD-MIME-VALIDATION,S1,in_progress,Referral upload now enforces MIME allowlist + signature checks + AV policy gate with integration coverage (bugWf71ReferralAttachmentSafety.int.test.ts); staging AV-required replay pending.,,,
pre_deployment,A,AI / Clinical Safety,BUG-SCRIBE25-001,S0,open,"Risk surfacing architecture boundary: enforce non-diagnostic content-detection posture end-to-end (prompt, label, schema, and guard) before PART 10 risk surfacing ships.",,,
pre_deployment,A,AI / Governance,BUG-SCRIBE25-002,S0,open,Safety-plan auto-draft must not become active without explicit patient-collaboration attestation gate and auditable transition contract.,,,
pre_deployment,A,AI / Data Integrity,BUG-SCRIBE25-003,S1,open,Cross-path dedup gap: in-visit and post-sign proposal flows can double-materialize clinically equivalent drafts without shared lineage keying.,,,
pre_deployment,A,AI / Data Contract,BUG-SCRIBE25-004,S1,open,mse_structured contract ambiguity (flat vs JSONB + citation cardinality) must be locked and enforced before migration/build.,,,
pre_deployment,A,AI / Medico-Legal,BUG-SCRIBE25-005,S1,open,291/court report flow lacks role-authorisation and immutable chain-of-custody controls for medico-legal output lifecycle.,,,
pre_deployment,A,AI / Reliability,BUG-SCRIBE25-006,S1,open,Missing explicit degraded-mode and recovery behaviour for scribe interruptions/model-host outages (zero-screen + reconnect safety).,,,
pre_deployment,A1,Auth / Session,BUG-WF21-JWT-GHOST-SESSION,S0,open,"JWT token issuance can occur before durable session-row persistence, creating ghost-session risk when session insert fails post-sign.",,,
pre_deployment,A1,Auth / Session,BUG-WF21-AUTH-COUNTER-RACE,S0,open,Failed-login counter lockout path has race-condition exposure under parallel attempts; threshold enforcement must be atomic.,,,
pre_deployment,A1,Auth / Session,BUG-WF21-OTP-CAP-MISSING,S0,open,OTP/TOTP verification lacks strict attempt capping within short-lived auth challenge windows.,,,
pre_deployment,A1,Patient Registration,BUG-WF31-VALIDATION-MISSING,S1,open,Registration payload hardening gaps remain for strict phone/Medicare/age validation boundaries.,,,
pre_deployment,A1,Appointments,BUG-WF41-SLOT-RACE,S0,in_progress,"DB unique active-slot index + integration regression now enforce duplicate-slot rejection locally; staging concurrency replay evidence still required.",,,
pre_deployment,A1,Appointments,BUG-WF41-REMINDER-TX-ORDER,S1,open,"Reminder enqueue ordering can drift from appointment-transaction success path, creating queue/data divergence.",,,
pre_deployment,A1,Appointments,BUG-WF41-CLINICIAN-NOTIFY-MISSING,S1,in_progress,Booking-created clinician notification now emits through centralized clinical-signal pipeline in appointmentService.createInternal with integration coverage (appointmentCreateClinicianNotification.int.test.ts); staging fan-out parity + dedupe verification still pending.,,,
pre_deployment,A1,Reminders,BUG-WF42-CANCEL-CLEANUP-MISSING,S0,open,Reminder cancellation cleanup remains incomplete when appointments are cancelled; stale patient reminders can still fire.,,,
pre_deployment,A1,Check-In,BUG-WF43-CHECK-IN-COLUMN-MISSING,S1,in_progress,Dedicated check_in_at + checked_in_by_id persistence is landed with integration coverage (bugWf43CheckInPersistence.int.test.ts); staging replay still required for closure.,,,
pre_deployment,A1,Check-In,BUG-WF43-ITEMS-AGGREGATION-MISSING,S1,in_progress,Outstanding-item aggregation endpoint now exists for check-in (invoices/flags/referrals/pending-docs) and is wired to Reception check-in UI with integration coverage; staging replay + downstream parity verification still pending.,,,
pre_deployment,A1,Ambient AI / Governance,BUG-WF51-ATTESTATION-BYPASS,S0,open,AI draft review attestation has bypass posture risk when configuration allows non-attested transitions.,,,
pre_deployment,A1,Ambient AI / Consent,BUG-WF51-CONSENT-REVOKE-RACE,S0,open,Mid-stream consent revocation handling is not fully closed under active recording/processing windows.,,,
pre_deployment,A1,Assessments,BUG-WF52-SCORING-CALCULATOR-MISSING,S1,open,Server-side authoritative scoring and validation remain incomplete for assessment pipelines.,,,
pre_deployment,A1,Billing / Receipts,BUG-WF61-RECEIPT-EMAIL-MISSING,S1,open,Receipt/invoice dispatch completeness remains blocked by delivery pipeline gaps.,,,
pre_deployment,A1,Referrals,BUG-WF71-ACK-EMAIL-MISSING,S1,open,Automated referral acknowledgment SLA dispatch path is incomplete.,,,
pre_deployment,A1,Referrals,BUG-WF71-EXPIRY-SCHEDULER-MISSING,S1,open,12-month referral expiry scheduler path remains incomplete.,,,
pre_deployment,A1,ePrescription / Security,BUG-WF81-NPDS-PAYLOAD-ENCRYPTION,S0,open,NPDS retry/backoff resilience is covered; explicit payload encryption/signing conformance evidence still pending.,,,
pre_deployment,A1,ePrescription / Reliability,BUG-ARCH-NPDS-SUBMIT-RETRY,S0,in_progress,NPDS client now retries transient 408/429/5xx plus network failures with bounded exponential backoff; staging fault-injection evidence still pending.,,,
pre_deployment,A1,ePrescription / Compliance,BUG-WF81-HPII-MISSING,S0,open,HPI-I validation/enforcement posture is incomplete for strict regulated operation.,,,
pre_deployment,A1,ePrescription / Workflow,BUG-WF81-DISPENSE-FLOW-MISSING,S1,open,Dispense callback and downstream state transition pipeline is incomplete.,,,
pre_deployment,A1,ePrescription / Compliance,BUG-WF81-PBS-AUTHORITY-MISSING,S1,open,PBS authority handling/validation path is incomplete.,,,
pre_deployment,A1,ePrescription / Interop,BUG-WF81-ASLR-READONLY,S1,open,ASLR write/update path is incomplete; current posture remains read-only.,,,
pre_deployment,A1,ePrescription / Data Contract,BUG-ARCH-MEDICATION-STATUS-ENUM-DRIFT,S0,in_progress,Web medication status union and presentation maps are now pinned to shared MedicationStatusEnum parity via unit tests; cross-surface runtime replay still pending.,,,
pre_deployment,A1,Architecture / Security,BUG-ARCH-PATIENTAPP-LOGIN-RATE-LIMIT,S0,in_progress,Layered per-IP + per-phone limiter is mounted on /patient-app/login with targeted integration coverage; staging abuse replay pending.,,,
pre_deployment,A1,Architecture / Security,BUG-ARCH-PATIENTAPP-ACTIVATION-ATTEMPT-CAP,S0,in_progress,Layered per-IP + per-invite-code limiter is mounted on /patient-app/activate with targeted integration coverage; staging abuse replay pending.,,,
pre_deployment,A1,Architecture / DB Security,BUG-ARCH-FORCE-RLS-BASELINE,S1,in_progress,FORCE RLS migration baseline landed (20260701000083) and startup posture check now verifies force-RLS + owner-role BYPASSRLS drift; remaining closure requires staging/prod DBA NOBYPASSRLS posture proof plus runtime replay under forced RLS.,,,
pre_deployment,A1,Architecture / Crypto,BUG-ARCH-PHI-KEY-MANDATORY,S0,in_progress,Runtime now fails closed outside test mode when PHI/blind-index keys are missing; staging+prod secret-contract evidence pending.,,,
pre_deployment,A1,Architecture / Crypto,BUG-ARCH-PHI-KEY-ROTATION,S0,in_progress,Versioned PHI keyring support is implemented; operational rotation drill evidence remains pending.,,,
pre_deployment,A1,Architecture / Forensics,BUG-ARCH-CLINICAL-NOTE-SIGNATURE-HASH,S0,in_progress,Signed-note hash + immutability trigger path is landed; dedicated tamper-drill evidence in staging still pending.,,,
pre_deployment,A1,Architecture / Eventing,BUG-ARCH-NOTIFICATION-EVENT-CONVERGENCE,S1,open,Notification/event emission coverage is inconsistent across critical state-transition boundaries.,,,
pre_deployment,A1,Architecture / Concurrency,BUG-ARCH-SEQUENCE-RACE-CONTROL,S1,open,Sequence/counter race-control (atomic locks/constraints) is incomplete across key operational surfaces.,,,
pre_deployment,A1,Architecture / Concurrency,BUG-ARCH-LOCK-VERSION-COVERAGE,S1,open,Multi-writer table set still lacks complete lock_version coverage and guard convergence.,,,
pre_deployment,A1,Architecture / Integrations,BUG-ARCH-SILENT-MOCK-SUCCESS,S1,open,Integration clients must fail visibly when required env config is absent; mock-success fallback is unsafe.,,,
pre_deployment,A1,Architecture / Guard Debt,BUG-ARCH-ALLOWLIST-TIMEBOMB-2026-12-31,S1,open,Large allowlist expiry cluster needs proactive burn-down plan before hard-expiry cliff.,,,
superseded,A2,superseded_findings,BUG-WF43-CHECK-IN-PHANTOM-ROUTE,,superseded,/appointments/:id/check-in backend route missing,,,"Runtime verification confirmed live handler exists; keep only real residuals (BUG-WF43-CHECK-IN-COLUMN-MISSING, BUG-WF43-ITEMS-AGGREGATION-MISSING)."
superseded,A2,superseded_findings,BUG-WF31-QUICKREG-UNWIRED,,superseded,/patients/quick-register route absent,,,Runtime verification confirmed route is wired with schema validation.
superseded,A2,superseded_findings,ARCH-S0-1 (legacy framing),,superseded,escalations cross-tenant direct leak,,,Runtime probe reported tenant isolation on core paths; residual /escalations/team-summary orgUnit probe is now clinic-bound and regression-tested.
post_deployment,B,API Contracts,BUG-SA-101,S2,deferred,Standardize list/detail/action response envelopes across modules (beyond immediate critical surfaces).,Start after S0/S1 closure + canary stable,,
post_deployment,B,Guard Coverage,BUG-SA-102,S2,deferred,Raise effective guard:row-iface-drift coverage; reduce unbound-skipped interface class.,After pre-deploy blockers closed,,
post_deployment,B,Guard Debt,BUG-SA-103,S2,deferred,Programmatic drain of high-volume allowlists with expiry governance and per-lane burn-down.,Begin in burn-in week 1,,
post_deployment,B,Eventing Architecture,BUG-SA-104,S2,deferred,Centralize mutation event fan-out so clinical lifecycle transitions use one notification architecture.,After messaging pipeline stable,,
post_deployment,B,File Architecture,BUG-SA-105,S2,deferred,Decompose oversized hotspot files that currently trigger file-size guard thresholds.,Start after go-live freeze lifts,,
post_deployment,B,Dashboard Contexting,BUG-SA-106,S2,deferred,Clinic-scoped key hardening and context-switch cache isolation beyond current blocker set.,After dashboard S1 fixes shipped,,
post_deployment,B,Query Performance,BUG-SA-107,S2,deferred,N+1 and high-variance query hardening (planned transitions and related aggregates).,Requires production-like telemetry baseline,,
post_deployment,B,Guard Documentation,BUG-SA-108,S3,deferred,Align guard comments/docs with actual implementation behavior to prevent audit misreads.,Opportunistic docs pass,,
post_deployment,B,Clinical Intelligence,BUG-SA-109,S2,deferred,"Calibrate clinical-intelligence thresholds by diagnosis/program (for example 91-day cadence edge-cases, LAI timing windows, legal review windows) using real-world service patterns.",Start after 2 weeks of production telemetry,,
post_deployment,B,Clinical Intelligence,BUG-SA-110,S2,deferred,Add operational SLOs and alerting for summary source failures (ok/partial/degraded) with per-source dashboards and owner rotation.,Trigger if degraded/partial summary rate >1% for 48h,,
post_deployment,B,Patient Detail Architecture,BUG-SA-111,S2,deferred,Consolidate remaining patient-detail side queries into server read-model contracts to reduce duplicate fetches and keep fail-visible semantics consistent across tabs.,Post go-live performance wave,,
post_deployment,B,File Architecture,BUG-SA-112,S2,deferred,"Split patientRoutes.ts into bounded routers/read-model modules (clinical-intelligence summary, attachments/pathology, notes/signoffs) while preserving current guard coverage.",Start in first post-go-live refactor sprint,,
post_deployment,B,File Architecture,BUG-SA-113,S2,deferred,Split CorrespondenceTab.tsx into shell + composer + history + artifact sections to stay under LOC ratchet and reduce UI coupling.,Start in first post-go-live refactor sprint,,
post_deployment,B,File Architecture,BUG-SA-114,S2,deferred,"Split EpisodesTab.tsx into episode-list, MDT banner, workflow dialogs, and history sections with explicit query boundaries.",Start in first post-go-live refactor sprint,,
post_deployment,B,File Architecture,BUG-SA-115,S2,deferred,"Split lifeChartSchemaDomain.ts into domain model, aggregation rules, and rendering payload builder to remove architectural block threshold pressure.",Start in first post-go-live refactor sprint,,
post_deployment,B,AI / Quality,BUG-SCRIBE25-101,S2,deferred,Expand AVS readability scoring beyond English baseline and enforce per-language quality thresholds.,Start after PART 10 baseline is live with telemetry,,
post_deployment,B,AI / Privacy,BUG-SCRIBE25-102,S2,deferred,"Add privacy hardening for edit-diff analytics (retention-by-consent, minimisation, and re-identification risk controls).",Trigger when edit-tracking scope is enabled in production,,
post_deployment,B,AI / Speech,BUG-SCRIBE25-103,S2,deferred,Add speaker diarisation + speaker-bound extraction controls for group sessions.,Must close before MDT/family multi-speaker mode GA,,
post_deployment,B,AI / Human Factors,BUG-SCRIBE25-104,S2,deferred,Add alert-fatigue calibration policy for risk-surfacing precision/recall tuning with clinician feedback loop.,Start after 2-week production signal baseline,,
