test_case_id,module_id,module_name,workflow_under_test,persona,scenario_type,pre_filled_steps,expected_result,actual_result,status,evidence_path_or_link,bug_id_if_failed,notes
F06-DENY,F06,Queues / Lists / Status,Restricted list access,receptionist,rbac_denied,"1) Open restricted clinical lists","Restricted lists hidden/denied; allowed lists still work",,Not Run,,,
F07-HAPPY,F07,Episode Lifecycle,Create/update/close episode,clinician,happy_path,"1) Open patient episodes tab 2) Create episode 3) Update state 4) Close with required summary","State transitions obey rules, close requires required fields, persistence confirmed",,Not Run,,,
F07-VALID,F07,Episode Lifecycle,Invalid episode transitions,clinician,validation_error,"1) Attempt forbidden transition (e.g., reopen closed)","Returns 4xx with rule-specific message; no invalid state mutation",,Not Run,,,
F08-HAPPY,F08,Referrals & Intake,Create/process referral lifecycle,admin,happy_path,"1) Create referral 2) Triage/accept 3) Verify status history","Referral state machine behaves correctly; transitions are auditable",,Not Run,,,
F08-DENY,F08,Referrals & Intake,Unauthorized referral actions,receptionist,rbac_denied,"1) Attempt referral actions requiring higher permissions","Unauthorized actions denied/hidden with no silent success",,Not Run,,,
F09-HAPPY,F09,Appointments / Calendar / Waitlist / Tasks,Create appointment and task workflows,admin,happy_path,"1) Create appointment 2) Change view modes 3) Create + complete task","Appointment/task writes succeed and persist after reload",,Not Run,,,
F09-VALID,F09,Appointments / Calendar / Waitlist / Tasks,Conflict and invalid input behavior,admin,validation_error,"1) Attempt conflicting slot or invalid payload","Returns controlled 4xx/conflict path; no 500 or duplicate writes",,Not Run,,,
F10-HAPPY,F10,Clinical Notes & Drafts,Create note/draft within episode context,clinician,happy_path,"1) Create clinical note 2) Save draft/finalize 3) Reopen and verify","Note workflow works, permissions enforced, data persists",,Not Run,,,
F10-DENY,F10,Clinical Notes & Drafts,Receptionist access restrictions,receptionist,rbac_denied,"1) Open patient details 2) Attempt note actions","Clinical note actions denied/hidden for receptionist",,Not Run,,,
F11-HAPPY,F11,Risk / Safety / Plans,Create alert + plan + assessment entries,clinician,happy_path,"1) Open Alerts & Plans 2) Create alert/plan 3) Save assessments","Risk and plan data saves and reloads correctly",,Not Run,,,
F11-DENY,F11,Risk / Safety / Plans,Risk permission enforcement,receptionist,rbac_denied,"1) Attempt to access risk-assessment operations","Denied with clear authorization behavior, no side effects",,Not Run,,,
F12-HAPPY,F12,Medications / Prescribing / Pathology,Prescribe + cease + allergy flow,clinician,happy_path,"1) Open Medications tab 2) Prescribe 3) Cease 4) Add allergy","Medication operations succeed and remain consistent after reload",,Not Run,,,
F12-VALID,F12,Medications / Prescribing / Pathology,Medication validation rails,clinician,validation_error,"1) Submit invalid/unsafe medication payload","Controlled validation failure (4xx) without server error",,Not Run,,,
F13-HAPPY,F13,Specialty Domains,Domain-specific route workflows (LAI/Clozapine/etc.),clinician,happy_path,"1) Open each specialty page 2) Run one primary action per page","Pages and primary actions function without runtime/API errors",,Not Run,,,
F13-DENY,F13,Specialty Domains,Non-clinical role restrictions,receptionist,rbac_denied,"1) Attempt specialty actions as non-clinical role","Restricted specialty actions denied/hidden",,Not Run,,,
F14-HAPPY,F14,Legal / AD / Review,Legal-order and AD review surface checks,admin,happy_path,"1) Open legal/AD review pages 2) execute baseline workflow","Core legal/review flows behave as designed, with expected audit records",,Not Run,,,
F14-DENY,F14,Legal / AD / Review,Unauthorized legal actions,readonly,rbac_denied,"1) Attempt legal/review writes as readonly","Writes denied and no mutations occur",,Not Run,,,
F15-HAPPY,F15,Tasks / Messages / Correspondence,Letter + message + task workflows,clinician,happy_path,"1) Compose letter draft/send 2) Save message 3) complete task","Correspondence and task flows complete and persist",,Not Run,,,
F15-VALID,F15,Tasks / Messages / Correspondence,Error-envelope consistency on failed sends,clinician,validation_error,"1) Trigger invalid send condition","Returns canonical error envelope (4xx) and no silent success",,Not Run,,,
F16-HAPPY,F16,Templates / Checklists / Workflow Config,Template/list config smoke + save,admin,happy_path,"1) Open templates/checklists 2) modify one item 3) save + reload","Changes persist and page remains stable",,Not Run,,,
F16-DENY,F16,Templates / Checklists / Workflow Config,Template edit authorization,receptionist,rbac_denied,"1) Attempt template edits with restricted role","Edits denied/hidden; read-only access behaves correctly",,Not Run,,,
F17-HAPPY,F17,Bed Board / Group Therapy / Nursing / Handover / Case Mgmt,Operational board/list workflows,clinician,happy_path,"1) Visit each operational board/list 2) perform one key update","Operational pages render and updates persist without error",,Not Run,,,
F17-DENY,F17,Bed Board / Group Therapy / Nursing / Handover / Case Mgmt,Role scoping on operational surfaces,readonly,rbac_denied,"1) Attempt updates on operational pages as readonly","Update actions blocked; no data mutation",,Not Run,,,
F18-HAPPY,F18,Reallocation / Org Operations,Reassignment/reallocation baseline flow,admin,happy_path,"1) Start reallocation flow 2) complete reassignment 3) verify ownership/state","Reallocation succeeds, consistency preserved across pages",,Not Run,,,
F18-ISOL,F18,Reallocation / Org Operations,Cross-clinic boundary during reallocation,admin,cross_clinic_isolation,"1) Attempt cross-clinic reassignment not permitted by policy","Policy-enforced denial or scoped behavior; no leakage",,Not Run,,,
F19-HAPPY,F19,Reporting / Audit / Exports,Run report + audit filter + export smoke,admin,happy_path,"1) Open reports/audit/exports 2) run baseline report/filter/export","Reporting surfaces load and produce expected output format",,Not Run,,,
F19-DENY,F19,Reporting / Audit / Exports,Unauthorized report access,clinician,rbac_denied,"1) Attempt restricted BI/compliance reports","Denied for unauthorized roles with clear messaging",,Not Run,,,
F20-HAPPY,F20,Billing / Subscription / Revenue,Subscription/billing UI and save paths,superadmin,happy_path,"1) Open billing/subscription 2) save a supported local config path","Configured local (non-processor) paths persist without 5xx",,Not Run,,,
F20-GAP,F20,Billing / Subscription / Revenue,External payment processor dependency,superadmin,known_gap_check,"1) Verify payment processor integration status","Gap is explicitly visible/fail-visible (not silent pass)",,Not Run,,,
F21-HAPPY,F21,Patient App + Family/Support Flows,Patient-app ownership and auth smoke,clinician,happy_path,"1) Access patient-app tracking with valid relationship 2) verify data scope","Ownership guard works for valid user/patient relationship",,Not Run,,,
F21-GAP,F21,Patient App + Family/Support Flows,Family/support persona scope,admin,known_gap_check,"1) Attempt family/support workflows in current build","Missing features are explicit and tracked, not silently broken",,Not Run,,,
F22-HAPPY,F22,AI / Scribe / Voice Surfaces,Scribe/voice route and baseline action smoke,clinician,happy_path,"1) Open voice/scribe surfaces 2) execute one safe baseline action","No runtime crash; expected allow/deny behavior respected",,Not Run,,,
F22-DENY,F22,AI / Scribe / Voice Surfaces,AI/scribe admin-only controls,receptionist,rbac_denied,"1) Attempt restricted AI admin controls","Restricted controls denied/hidden; no privilege escalation",,Not Run,,,
F23-HAPPY,F23,Integrations / Interop Config,Integration-config fail-visible checks,superadmin,happy_path,"1) Open integration settings 2) verify non-configured integrations are visible","Unavailable integrations fail visibly with explicit status",,Not Run,,,
F23-GAP,F23,Integrations / Interop Config,Partner environment dependency,superadmin,known_gap_check,"1) Verify external integration run prerequisites","External dependency gaps are documented and tracked",,Not Run,,,
F24-HAPPY,F24,Runtime / Jobs / Eventing,Scheduler/job/eventing health smoke,admin,happy_path,"1) Trigger representative scheduled/evented workflow 2) inspect observable outcome","Job/event processing succeeds or fails visibly with audit trail",,Not Run,,,
F24-VALID,F24,Runtime / Jobs / Eventing,Fail-visible background error behavior,admin,validation_error,"1) Simulate known failure condition for job/event path","Failure is surfaced deterministically (no silent drop)",,Not Run,,,
